设备id,经度,纬度,降雨量,降雨量,
Point30,118.0650151,25.8731832,4.9,3.8,
Point9,118.1031457,25.96899957,3.3,2.6,
Point5,118.0746634,25.91583299,3.2,3.1,
Point6,118.0867339,25.90084549,3.3,3.3,
Point0,118.0443755,25.93492709,2.1,2.7,
Point8,118.0847317,25.962139,4.2,3.4,
Point14,118.0360901,25.93317831,3,3,
Point23,118.0536296,25.95098357,3.3,2.8,
Point4,118.0604623,25.92638105,3,2.8,
Point13,118.1450731,26.00202162,4,2.8,
Point7,118.1010157,25.88982449,4,3.3,
Point25,118.0111563,25.98171469,3.5,3,
Point17,117.998963,25.92015212,3.5,3,
Point16,118.0171326,25.92586127,3.9,3.9,
Point12,118.1245614,25.87472797,,3.6,
Point11,118.1130803,25.87518143,5.1,3.7,
Point15,118.0250129,25.92712249,2.9,3.2,
Point24,118.0505955,25.97017929,3.6,3.3,
Point31,118.01548,25.96171992,,,
Point20,117.971642,25.92730705,3.6,3.3,
Point32,117.9853535,25.96769073,3.1,3.1,
Point19,117.9803833,25.94545055,3.6,3,
Point10,118.1285724,25.97380271,3.4,2.6,
Point18,118.0491257,25.9907609,4.6,3.6,
Point21,118.054241,25.88532967,,,
Point22,118.0403495,25.88088636,,,
